fecha,medio,titulo,enlace,nivel_coincidencia,elenco_o_cuerpo,sentimiento,tema_principal,obra_mencionada,resumen_gemini,keywords_detectadas
2026-09-15 17:09,En Perspectiva (Radiomundo),Arte y solidaridad: el Ballet Nacional presenta Coppélia a beneficio de la Fundación Sophia,https://enperspectiva.uy/en-perspectiva-radio/la-conversacion/coppelia/,Nivel 1 (Directo),No analizado,No analizado,No analizado,-,"<p>El Ballet Nacional presentará en el Auditorio Nacional Adela Reta, una función de Coppélia a beneficio del ""Elenco Sophia</p> <p>La entrada <a href=""https://enperspectiva.uy/en-perspectiva-radio/la",auditorio nacional adela reta
2026-09-15 15:37,ladiaria.com.uy,Una Coppélia para tiempos de IA: el estreno del Ballet Nacional del Sodre - ladiaria.com.uy,https://news.google.com/rss/articles/CBMivgFBVV95cUxPQzBNNk11eGhtUkRGSEFKdVRMTUxaaENRRmFnQi1EcTBrV3FoeV9CaVlvUVFYUC13U0sxUVBNLVlBd0xpemhKcFF2eUQtdXZiSlpja1pVOXJxazl5MG9uZkF4bEJ2YVl1XzI4ek42cTVVTHZSdnJ0WG03THRxdGM4WFo1bjEyN21hWDJ1VEFabkMzT2NJU0VmaHJZdXJvYXZ0a2pHaHp0NXdVUEoyN05oR2F0Y1RCelRnWWh1Nm5n0gHOAUFVX3lxTE1CTTNLRXBPOGRBYXFIakhXMlpma1lscjh4SWNvWGF1RVhPblJLdFlJYmdHQzVNU1NOYlFqdnlHQTVUNVo5clM3c25qMktaYUNBaURWcHFqQ1JSa0l3NjNNN0VXSzF0bEhwQ1ZldWxkWm5YeHB3YS0weV80dnY1cHIybXR0cmE0LWMtWTBmUmlMckNYTk43OGY4ZGxZTFBjWmNuT25wUnNHVTJTU1B4Q2FHYmtpZVd0MUNVX3FSc0swVWp0TmVsaEJQMHk4ZEhR?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPQzBNNk11eGhtUkRGSEFKdVRMTUxaaENRRmFnQi1EcTBrV3FoeV9CaVlvUVFYUC13U0sxUVBNLVlBd0xpemhKcFF2eUQtdXZiSlpja1pVOXJxazl5MG9uZkF4bEJ2YVl1XzI4ek42cT",Sodre
2026-09-15 12:40,helvecia.com.uy,Coro Nacional de Niños del Sodre festeja sus 10 años en Colonia - helvecia.com.uy,https://news.google.com/rss/articles/CBMioAFBVV95cUxONWxHWmZRUWFaajFFMG5vMzgxN3hQdXliWXJ0Z2NhLWVJWnktekZXZk5DR1FuMzJGZ2lVaXNidEhfZTVJZFhDbE03WWJLSkozM3ZQTmRMRnh5VXJqVFdjaWNvVnJ2dEUtWGV0a2JZZmpYR1NSdGtLSjhsTlZ4RGdRcTVRaVE0YmNmRVA5Y3VfcGdoZHlPM3dxeU5nWjJmQlRm?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxONWxHWmZRUWFaajFFMG5vMzgxN3hQdXliWXJ0Z2NhLWVJWnktekZXZk5DR1FuMzJGZ2lVaXNidEhfZTVJZFhDbE03WWJLSkozM3ZQTmRMRnh5VXJqVFdjaWNvVnJ2dEUtWGV0a2JZZm",Sodre
2026-09-16 15:11,GUB.UY,Ballet Nacional del Sodre estrena “Coppélia” con producción 100% uruguaya - GUB.UY,https://news.google.com/rss/articles/CBMitwFBVV95cUxPcnBMSnlxTWlpZFVmc2pUSzFPemxVdmNJUTdma2poMW9TdUJLOGNMMjUzVHExLW84TWZpZE9XRnJjTy1kVDVnakNYckZHOXNtMWY1a3E5LWpZdzNqY2V0NFViVFFmcWFaMlN0eWZUTldaU0taV1lSWG5KVFpXNFRWNTJPRmtDRXdKRkNDREF2VlMyZ1pXb0JISEFjT3U5ZmZSdkdvckJzU1oxa3RWVnN4cUdqQnVRbU0?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPcnBMSnlxTWlpZFVmc2pUSzFPemxVdmNJUTdma2poMW9TdUJLOGNMMjUzVHExLW84TWZpZE9XRnJjTy1kVDVnakNYckZHOXNtMWY1a3E5LWpZdzNqY2V0NFViVFFmcWFaMlN0eWZUTl",Sodre
2026-09-12 22:53,ArchDaily,Galería de Apartamento de Cais do Sodré / Vasco Lima Mayer + Estudio Obra Prima - 18 - ArchDaily,https://news.google.com/rss/articles/CBMiqgJBVV95cUxPcC02ajZaSUZDTWE5MEUwXzBjM2tndmtBcUpFZnZQUnVfczM4NlliMEV2Z3RHSHpHc20xQm02eElxTzVwdktKLW1WRy1Ecm1jYkNBaDBFWjhaUGswLXJMelBFbmRhbVAwbHYyRHZESlMyZlRSdFNodGJnaWFoYWg0NElhRk9MQTg0SFNhaGk2dWFBVEdRQ0drTGxBQkRwa01vcEV3MFdCckxBUEowNGg2RGRxTXRqLXNmSmF3VXp6UWItajBLMG5QQ3hUcWNBd1hLcERxNHQwbFBuLUxBZ2lMNUM2emhCaFBMMGlEbjFhWVFCYkFfank5ZndHaHkzeEpITmF1LWJ1b2JXSnFkMU1lSFV2RHdJbUJkT1N0cXlrTEtvVllqLUt2R3hR?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMiqgJBVV95cUxPcC02ajZaSUZDTWE5MEUwXzBjM2tndmtBcUpFZnZQUnVfczM4NlliMEV2Z3RHSHpHc20xQm02eElxTzVwdktKLW1WRy1Ecm1jYkNBaDBFWjhaUGswLXJMelBFbmRhbVAwbHYyRHZESl",Sodre
2026-09-14 13:45,EL PAÍS Uruguay,Fundación Sophia invita a función de ballet a beneficio en el Sodre para continuar con su obra social - EL PAÍS Uruguay,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPTHB4U0hvMjVQYU9rTkt6TWlrQU1PcjdVamFrUFFFYVloa2RhYVBBaFM4QW5CNG1MZ1VjRkYyUnNGRjNGOGF2TGVtS2NFQ0d5N2JtT1pMSDFUMXBnSG5hUmttZ29DZzl4Qnl1bWZCdGp3TEZoMHZObVpodXRtVE5jNlhGd2lubmFhRTBhdmI1ODBhb2xLM0ZXLTR5Mk1wM1NWSXp6VG44VjJ3NVlWYkZlUFV3eXJLZFVvN0l3Y1hEMnI3ZGlzUFNwLXJzMzRpcFVGa0VBRkVOaVNvdw?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPTHB4U0hvMjVQYU9rTkt6TWlrQU1PcjdVamFrUFFFYVloa2RhYVBBaFM4QW5CNG1MZ1VjRkYyUnNGRjNGOGF2TGVtS2NFQ0d5N2JtT1pMSDFUMXBnSG5hUmttZ29DZzl4Qnl1bWZCdG",Sodre
2026-09-10 18:21,El Observador,Los Auténticos Decadentes llevan 55 personas al escenario del Auditorio del Sodre y quieren hacer un trencito con música clásica - El Observador,https://news.google.com/rss/articles/CBMihAJBVV95cUxQeFQ1YWRVUnlsUjF5MG1FclMzLTBWbmJwanlaRldFZUxOSjhYRzE2ZTN2aktRV0JKUy1aSUNnV2xRZTJvQXg4eDVSLWVtb3NDU3F0ZTIwc1RQeEFYMHBjSDFRR2NlS05vQ09ZOUd6SjZuTkpERDFJcE5qcmowR1paUkNZWURDSWwyd0FvbFRaOW1MS2RzeUpoVkpZMTFjT05CRXQxTjRCdmJHb0dXYnY1YXdjODVCajk1VWF3dDF1RHlPakQtRWU5WTZad2hKajFJR1B2cHktZVFyM3JWUlRqekVVU0Q3d1pkbVFGdmZXdkpoRmNId1RlNWphcWQ5cVpMOFRPT9IBigJBVV95cUxOQ3piZWt6U2VaaTBmYTgwVHlrRkd3TVVubHJZNUdMNW5jLVBBeEhmcWE5ZXFteDNIbjZ2RGRoV1ctR1ZlUjY3d1BqYlpLOUZwR0VweVIxOGE5NjdaamJZY3lMNzA1Mm1BT1BXS00zY2piYVJqQnlCWFdOa3JOaThLdmZaZ1kxYXNfNWdHNjZBMjJRX2ppQmtUOTExNGRLRnNfY0R6RmJCTVdpcHgwRmx6NTYybkgtVWc3TXhEakk3UWlmRmI1b2V3ZTlrZzlNQS1UZkViYzZUbXZLeUtpeTNEckdzU2YxQnlyLU9JdWxEMFF6c1A5a2pUUU8tc3ZCc3RhMjQxcUR1bldBQQ?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxQeFQ1YWRVUnlsUjF5MG1FclMzLTBWbmJwanlaRldFZUxOSjhYRzE2ZTN2aktRV0JKUy1aSUNnV2xRZTJvQXg4eDVSLWVtb3NDU3F0ZTIwc1RQeEFYMHBjSDFRR2NlS05vQ09ZOUd6Sj",Sodre
2026-09-05 07:00,salto.gub.uy,Orquesta Juvenil de Sodre se presentará en el Teatro Larrañaga a mediados de octubre - salto.gub.uy,https://news.google.com/rss/articles/CBMitwFBVV95cUxPaFlxRS11amRNUUdUN1lKT3NaVGxVb0tCSVEyUVZaTDFtd2hObmpmZV94NWs3My05ZjdfZ1J5T2ppTVBaaEVIU0xzZ01EcG9VT1FMQ3V0bkN1cG5kU3E1OVVtY0l6dUNHMDJDVTctcjhQNnJHTjNHLVp1SUw0UmJYd1F2ODFKeWlXQk1acEN5eUREOHJnN3pweU16bDk0UU5DY2Y4MFotalFGalQzdm5DQmcwMHpVWDg?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPaFlxRS11amRNUUdUN1lKT3NaVGxVb0tCSVEyUVZaTDFtd2hObmpmZV94NWs3My05ZjdfZ1J5T2ppTVBaaEVIU0xzZ01EcG9VT1FMQ3V0bkN1cG5kU3E1OVVtY0l6dUNHMDJDVTctcj",Sodre
2026-09-10 20:57,GUB.UY,"El Sodre estrena Coppélia, una producción realizada íntegramente en los talleres del Auditorio - GUB.UY",https://news.google.com/rss/articles/CBMi1gFBVV95cUxNU1BEWkgxWHJmSWdQLURNaUNHZF81RVo3SGxQNGxQNEJXenVVVm1wZDVzZFl3eG9QeXY3Z3VJdlBxSnVhNEhyRmsybmFoWGQzLWtOMzZ4Vkt2ODBmMFM3dUp5eE5RMEI1X2doNWhxYkhnd3FYTk53VW03RDVQODJXMkJ3dlg3bFNKYjI2SmZqeHNHWmh0bnJrdUdBTUppaFpVRTYyblFRWjNWOHhSczJpb3Zma3k3d0NTYmVIZ2JWN1poZ3NKUlFMQ3BFNnhGNzNTRUt2eWVn?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNU1BEWkgxWHJmSWdQLURNaUNHZF81RVo3SGxQNGxQNEJXenVVVm1wZDVzZFl3eG9QeXY3Z3VJdlBxSnVhNEhyRmsybmFoWGQzLWtOMzZ4Vkt2ODBmMFM3dUp5eE5RMEI1X2doNWhxYk",Sodre
2026-07-26 02:31,ArchDaily,Gallery of Cais do Sodré Apartment / Vasco Lima Mayer + Estudio Obra Prima - 1 - ArchDaily,https://news.google.com/rss/articles/CBMinwJBVV95cUxPdzctTUJ5VzVmQl9XVnZDalduZExGRHMtQ2xYZmxVa3lubjhER1dxMEU2eE1meDVUYXB4QXQwaXJfalNOV25waVJ6TlVkUWJzZkJMcXBPamU4UHBIS0h5TjlhbDhRWlhOZzd6djBTRXJHcGxvY1JKZEN1alVYelFLRGFjZVYyT0dFS1gtWTZGZ05OWHY1T2x6aDZTbERTU1FSaDhKWjJ4bHNoVTcxM0JYdmNmMjZXUkVhNGJxUHluWGpGTUtWVGE4a1NibXJ2OC1PNVQ4Z1phUHNFeGxNT1gwakJVT0htSzN1Z2g0bklyelZVM2Y4cWQtZnRmMVl5TVU0SEZVdXhCWTdEdlZLYmFPR3BXN1VncVQxUzMxTXZmOA?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMinwJBVV95cUxPdzctTUJ5VzVmQl9XVnZDalduZExGRHMtQ2xYZmxVa3lubjhER1dxMEU2eE1meDVUYXB4QXQwaXJfalNOV25waVJ6TlVkUWJzZkJMcXBPamU4UHBIS0h5TjlhbDhRWlhOZzd6djBTRX",Sodre
2026-08-13 07:00,GUB.UY,"El SODRE presentó la Ópera L’elisir d’amore, la nueva producción de la temporada lírica 2026 - GUB.UY",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNR3dNS3ZCTWtlaDJ6X0tNSlJsZHN2eFc2N2NGZFVWZTY1NzBNMVV1OGdld2xGaE00Y1ktVlZuQVJUQnBaZjdjQ0JZb2I1b0wtVWMwNmhUcGE3NVAzTjFoMEdfYWpQY2V0d3VpTk96ZmlVVU5RZnhnUmhWelIta2Jtd0xoZ1gxVHV6cEE3YmcwMjY2bzVad2N6SkJzcTVqWlpJSDE1QTNuS1ltUFhnaER2dWhsMlRHOG1PVWoyVE1MaWhLdFBFZ0h3aGlLM2NkcVc3Tl9UdmQzZFF4T0RM?oc=5,Búsqueda Histórica 2026,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNR3dNS3ZCTWtlaDJ6X0tNSlJsZHN2eFc2N2NGZFVWZTY1NzBNMVV1OGdld2xGaE00Y1ktVlZuQVJUQnBaZjdjQ0JZb2I1b0wtVWMwNmhUcGE3NVAzTjFoMEdfYWpQY2V0d3VpTk96Zm",Sodre
